name,U1_index,U2_index,Bridge_atom1,Bridge_atom2,smiles,delta_E,COS2,E_0,E_10,E_20,E_30,E_40,E_50,E_60,E_70,E_80,E_90,E_100,E_110,E_120,E_130,E_140,E_150,E_160,E_170,E_180,dihes_1,dihes_2,dihes_3,dihes_4,ori_ang,new_name,new_cos2
11801,144,70,5,6,[H]c1c(-c2c3sc(-c4c5c([H])c6sc(C([H])([H])[H])c([H])c6c([H])c5c([H])c5c([H])c6sc(C([H])([H])[H])c([H])c6c([H])c45)c([H])c3c(-c3sc(C([H])([H])[H])c(Cl)c3[H])c3sc([H])c([H])c23)sc(C([H])([H])[H])c1Cl,13.7423157,0.078110667,12.90146168,13.7423157,8.70974164,5.81067778,3.48264165,1.80093361,0.76555366,0.23217611,0.03137515,0,0.0627503,0.30747647,0.87222917,1.95780936,3.69599267,6.08050407,8.86661739,10.98757753,12.19238329,4,5,6,7,0.0041,14773,0.078108855
8853,146,45,6,7,[H]c1c([H])c(-c2c3sc(-c4sc5c([H])c6c([H])c([H])sc6c([H])c5c4[H])c([H])c3c(-c3c([H])c([H])c(SC([H])([H])[H])c([H])c3[H])c3sc([H])c([H])c23)c([H])c([H])c1SC([H])([H])[H],4.14779483,0.871234058,1.51855726,1.4432569,1.29893121,1.26128103,1.4432569,1.88878403,2.54138715,3.28184069,3.90306866,4.14779483,3.87796854,3.21281536,2.37823637,1.54365738,0.84712905,0.35140168,0.08785042,0,0.00627503,5,6,7,8,0.0041,10825,0.871256701
4202,18,31,13,14,[H]c1c([H])sc2c1C(C#N)(C#N)c1c-2sc(-c2c([H])c([H])c([H])c3nsnc23)c1[H],4.72509759,0.89913152,0,0.03137515,0.16942581,0.52710252,1.16088055,2.03310972,3.02456446,3.93444381,4.55567178,4.72509759,4.39879603,3.67089255,2.74846314,1.83230876,1.0667551,0.53337755,0.26355126,0.19452593,0.19452593,12,13,14,15,0.0042,5138,0.899130142
4422,19,87,20,21,[H]c1c([H])c2c(c(F)c1[H])N(C([H])([H])[H])C(=O)/C2=C1/C(=O)N(C([H])([H])[H])c2c(F)c(-c3c([H])c(F)c([H])c(F)c3[H])c([H])c([H])c21,2.40333649,0.583886074,2.33431116,1.76955846,0.87222917,0.22590108,0.01882509,0.26982629,0.8785042,1.59385762,2.17116038,2.40333649,2.18998547,1.62523277,0.91615438,0.30120144,0,0.14432569,0.76555366,1.70680816,2.33431116,18,20,21,22,0.0042,5396,0.583887332
9089,47,127,11,12,[H]c1c([H])c2c(c([H])c1[H])C(C([H])([H])[H])(C([H])([H])[H])c1c([H])c(-c3c([H])c4c(c([H])c([H])c5c(=O)n(C([H])([H])[H])c(=O)c54)c4c(=O)n(C([H])([H])[H])c(=O)c34)c([H])c([H])c1-2,5.2082749,0.469607421,5.2082749,3.78384309,1.99545954,0.74045354,0.1882509,0.27610132,0.79692881,1.45580696,1.97663445,2.1335102,1.84485882,1.21108079,0.48317731,0,0.05020024,0.80947887,2.25273577,4.00346914,4.98864885,10,11,12,13,0.0042,11141,0.469618023
4766,109,21,4,5,[H]c1nc([H])c([H])c(-c2nc3c(c([H])c2[H])/C(=C2\C(=O)N(C([H])([H])[H])c4nc([H])c([H])c([H])c42)C(=O)N3C([H])([H])[H])n1,8.63444128,0.962813873,0,0.17570084,0.70907839,1.59385762,2.79238835,4.22937022,5.74792748,7.14098414,8.16381403,8.63444128,8.52149074,7.96301307,7.21000947,6.48210599,5.96755353,5.76047754,5.84205293,6.06795401,6.19972964,3,4,5,6,0.0042,5818,0.962796035
6473,132,31,14,15,[H]c1c([H])c2c(c([H])c1[H])C(=C(C#N)C#N)c1c([H])c(-c3c([H])c([H])c([H])c4nsnc34)c([H])c([H])c1-2,3.30694081,0.679612876,1.3177563,0.9412545,0.33885162,0,0.11295054,0.65260312,1.47463205,2.34686122,3.02456446,3.30694081,3.10613985,2.50373697,1.7570084,1.1295054,0.83457899,1.0040048,1.60013265,2.36568631,2.7610132,13,14,15,16,0.0042,7952,0.679577538
7063,34,138,11,12,[H]C1=C([H])C([H])([H])C2=C1C(C([H])([H])[H])(C([H])([H])[H])C1=C2C([H])([H])C(c2sc([H])c3c(F)c(C(=O)OC([H])([H])[H])sc23)=C1[H],5.85460299,0.935058683,0.20080096,0.26982629,0.50827743,0.97262965,1.68170804,2.59786242,3.65206746,4.71254753,5.55340155,5.85460299,5.46555113,4.64979723,3.68344261,2.71708799,1.83858379,1.08558019,0.5020024,0.13177563,0,10,11,12,13,0.0043,0,0.93505893
8611,43,163,34,35,[H]c1c([H])c2c(c(F)c1[H])N(C([H])([H])[H])C(=O)/C2=C1/C(=O)Oc2c([H])c3c(c([H])c21)OC(=O)/C3=C1/C(=O)N(C([H])([H])[H])c2c(F)c(-c3sc([H])c4sc(C(=O)C([H])([H])[H])c(F)c34)c([H])c([H])c21,8.43991535,0.602189201,1.55620744,0.99145474,0.37022677,0.0627503,0.15687575,0.64632809,1.44953193,2.39078643,3.2002653,3.52029183,3.06221464,1.99545954,0.80947887,0.04392521,0,0.85340408,2.67316278,5.38397574,8.43991535,32,34,35,36,0.0043,10503,0.602189129
11483,66,147,0,4,[H]C(=N/N=C(\[H])[H])c1sc2c(-c3c([H])c([H])c([H])c(SC([H])([H])[H])c3[H])c3c([H])c([H])sc3c(-c3c([H])c([H])c([H])c(SC([H])([H])[H])c3[H])c2c1[H],9.85807213,0.974302778,0,0.24472617,1.02282989,2.24646074,3.80266818,5.5220264,7.20373444,8.61561619,9.55059566,9.85807213,9.50039542,8.59051607,7.34806013,6.00520371,4.75019771,3.69599267,2.91788895,2.45353673,2.29666098,1,0,4,5,0.0043,14335,0.974289035
13999,93,97,0,4,[H]C(=C([H])C#N)c1nc2sc([H])c([H])c2c([H])c1[H],7.36061019,0.945992681,1.45580696,1.58758259,2.00173457,2.67943781,3.60814225,4.69999747,5.81695281,6.77075737,7.33551007,7.36061019,6.78958246,5.74165245,4.44272124,3.13123997,1.98918451,1.09813025,0.47690228,0.11922557,0,1,0,4,5,0.0043,17933,0.946011977
16747,135,153,9,10,[H]c1c([H])c2c(c([H])c1[H])Sc1c([H])c(-c3sc4c(sc5c4sc4c6sc([H])c(C([H])([H])[H])c6sc45)c3C([H])([H])[H])c([H])c([H])c1N2C([H])([H])[H],2.65433769,0.486063338,2.65433769,2.01428463,1.07303013,0.37022677,0.05647527,0.13177563,0.48945234,0.97890468,1.39305666,1.53738235,1.33658139,0.8785042,0.37022677,0.02510012,0,0.38277683,1.14205546,2.03938475,2.48491188,8,9,10,11,0.0043,22366,0.486067028
14199,138,94,7,8,[H]C([H])([H])OC(=O)c1sc2c(C3=C4SC(=O)C([H])=C4SC3=O)sc([H])c2c1F,4.85059819,0.884809774,2.69198787,1.73190828,1.09813025,0.86595414,1.07303013,1.6942581,2.60413745,3.60814225,4.42389615,4.85059819,4.71882256,4.07249447,3.17516518,2.25273577,1.43070684,0.77810372,0.32630156,0.07530036,0,6,7,8,9,0.0043,18211,0.884819757
16472,140,130,5,6,[H]c1c(-c2c3sc(-c4sc([H])c(C([H])([H])[H])c4C#N)c([H])c3c(-c3sc(C([H])([H])[H])c(F)c3[H])c3sc([H])c([H])c23)sc(C([H])([H])[H])c1F,3.22536542,0.823027088,0,0.04392521,0.00627503,0.08157539,0.37022677,0.89732929,1.60013265,2.34686122,2.96808919,3.22536542,3.01828943,2.47863685,1.83230876,1.24245594,0.8157539,0.58357779,0.52082749,0.55847767,0.59612785,4,5,6,7,0.0043,0,0.823011445
3180,152,11,5,6,[H]C([H])([H])c1nc([H])sc1-c1sc([H])c(Cl)c1Cl,8.42736529,0.259355951,8.42736529,5.87342808,3.60186722,1.88878403,0.75927863,0.16315078,0,0.11922557,0.32002653,0.42670204,0.40160192,0.33885162,0.36395174,0.53337755,0.82830396,1.16088055,1.43698187,1.61268271,1.67543301,4,5,6,7,0.0043,3840,0.259346841
11427,66,96,0,4,[H]C(=N/N=C(\[H])[H])c1c([H])c2c(c([H])c1F)/C(=C1\C(=O)Oc3c([H])c4c(c([H])c31)OC(=O)/C4=C1/C(=O)N(C([H])([H])[H])c3c([H])c([H])c(F)c([H])c31)C(=O)N2C([H])([H])[H],5.36515065,0.904166709,0,0.28237635,0.71535342,0.47690228,1.21108079,2.18998547,3.28811572,4.31722064,5.05767418,5.27730023,4.98237382,4.36114585,3.73991788,3.36969111,3.3885162,3.79639315,4.47409639,5.12669951,5.36515065,1,0,4,5,0.0044,14281,0.904138355
12521,77,150,17,18,[H]c1c2c(c([H])c3c([H])c([H])sc13)C(C([H])([H])[H])(C([H])([H])[H])c1c-2c([H])c2sc(-c3c(F)c(F)c([H])c4nc(C([H])([H])[H])c(OC([H])([H])[H])nc34)c([H])c2c1[H],2.3217611,0.782535998,1.3805066,1.29265618,1.13578043,1.02282989,1.0667551,1.28010612,1.6315078,2.00173457,2.26528583,2.3217611,2.14606026,1.76328343,1.26128103,0.75927863,0.35140168,0.09412545,0,0.03137515,0.08157539,16,17,18,19,0.0044,15773,0.782563445
