smiles,index,HOMO,LUMO
CC1=C(C)C2=C(SC([Cs])=C2)C3=C1C=C([Fr])S3,54,-5.620242556,-0.852805276
[Fr]C(S1)=CC2=C1C(SC([Cs])=C3)=C3C(OC)=C2OC,55,-5.69670659,-1.00818237
[Fr]C1=CC2=C(C(SC([Cs])=C3)=C3S2)S1,56,-5.60282726,-1.087639658
[Fr]C1=C(C)C2=C(S1)C3=C(S2)C(C)=C([Cs])S3,57,-5.469763514,-0.936888502
[Fr]c1sc(c2c(C3(C)C)cc(c4c(C5(C)C)cc([Cs])s4)c5c2)c3c1,58,-4.992203444,-1.217165922
[Fr]c1cc2c(c3cc4c(c5sc([Cs])cc5C(C6=CC=C(C)C=C6)4C7=CC=C(C)C=C7)cc3C(C8=CC=C(C)C=C8)2C9=CC=C(C)C=C9)s1,59,-4.999822636,-1.26941181
[Fr]C1=C(C)C2=C(C3=C(C2=CC=C4)C4=C5C6=C3C=CC=C6C7=C5SC([Cs])=C7C)S1,60,-5.039279166,-2.652567272
CC#CC1=C2C(C=CC([Fr])=C2)=C(C3=C1C=CC([Cs])=C3)C#CC,61,-4.9252634,-1.943982416
[Fr]C1=C2C(C=CC(C#CC)=C2)=C([Cs])C3=C1C=CC(C#CC)=C3,62,-5.135335408,-1.829694536
[Cs]C(C=C1)=CC=C1N(C2=CC=C([Fr])C=C2)C3=CC=CC=C3,63,-4.946216178,-0.29660426
[Fr]c1c2nsnc2c([Cs])c3c1N=S=N3,64,-6.200389604,-3.558162664
[Fr]/C=N/N=C/[Cs],65,-6.584886686,-1.180702646
[Fr]C1=CC=C(O1)[Cs],66,-6.10759873,0.535792466
[Fr]C1=CC=C2C(C=CC([Cs])=C2)=C1,67,-5.787592666,-0.958929736
[Fr]C1=CC=C2C(C=C(C=CC([Cs])=C3)C3=C2)=C1,68,-5.225677256,-1.632139772
[Cs]C1=C2C(C=C(C=C(C)S3)C3=C2)=C([Fr])C4=C1C=C(C=C(C)S5)C5=C4,69,-4.68988479,-1.855545366
[Fr]C1=C(C)C2=C(C3=CC=CC4=C(C5=C6SC([Cs])=C5C)C7=C6C=CC=C7C2=C43)S1,70,-5.212071556,-2.60277041
Cc1c2c3cc([Fr])sc3c4sc([Cs])cc4c2c(C)s1,71,-5.00961874,-1.37145456
[Cs]c1sc2c3sc([Fr])cc3c(csc4)c4c2c1,72,-5.28309331,-1.479211704
O=C1Oc2c3ccc(/C4=C5C(N(C)C6=C\5C=CC([Fr])=C6)=O)c(OC4=O)c3ccc2/C1=C7C(N(C)C8=C\7C=CC([Cs])=C8)=O,73,-5.547588118,-3.32251194
F[B-]1(F)[N+]2=CC([Cs])=CC2=C(C3=CC=C(C)S3)C4=CC([Fr])=CN14,74,-5.844192378,-2.844679756
O=C1N(C)C(C2=C([Fr])SC([Cs])=C21)=O,75,-7.29945805,-1.784251498
[Fr]c1sc2c(cc3c(c2)c4cc(sc([Cs])c5)c5cc4c3(C)C)c1,76,-5.397925418,-1.293085728
[Cs]c1sc(C2=C(C=C3C)C(SC([Fr])=C4)=C4C(C)=C2)c3c1,77,-5.529628594,-1.071857046
[Cs]C1=CC=C([Fr])C2=NN(C)N=C21,78,-6.136714928,-1.238935042
[Cs]N=N[Fr],79,-6.746794516,-1.54016524
[Fr]C1=C(OC)C=C([Cs])C(OC)=C1,80,-5.301324948,0.086260138
[Fr]C(S1)=CC2=C1C=C(C(C=C(C(C)(C)C3=C4C=C5C(C=C([Cs])S5)=C3)C4=C6)=C6C7(C)C)C7=C2,81,-5.185948612,-1.42179565
[Fr]C(S1)=CC2=C1C(C(C)(C)C3=C4C=C5C(C(SC6=C7SC([Cs])=C6)=C7C5(C)C)=C3)=C4S2,82,-4.88036459,-1.508600016
[Fr]C1=CC(C(C)(C)C2=CC(C([Se]C([Cs])=C3)=C3C4(C)C)=C4C=C25)=C5[Se]1,83,-4.969890096,-1.275398318
[Fr]C1=CC=C([Cs])C(F)=C1F,84,-6.704344732,-0.361367392
[Fr]C1=CC(F)=C([Cs])C=C1F,85,-6.565294478,-0.572527856
[Fr]C1=CC(F)=C([Cs])C(F)=C1,86,-6.77291746,-0.394837414
[Fr]C1=CC2=C(C(SC([Cs])=C3)=C3[Si]2(C)C)S1,87,-5.28853559,-1.286827106
[Cs]C1=C(F)C(F)=C([Fr])C2=NSN=C21,88,-6.948975218,-2.595695446
[Fr]C1=CC=C([Cs])C1(C)C,89,-5.689631626,-0.320822406
CN1N=C2C([Cs])=C3C(N=S=N3)=C([Fr])C2=N1,90,-5.83548473,-2.855020088
O=C1N(C)C(C2=C([Fr])C3=NN(C)N=C3C([Cs])=C21)=O,91,-6.871966956,-2.086025924
[Fr]/C(C#N)=C/[Cs],92,-7.870081108,-1.532546048
[Fr]C1=C(S2)C(SC1=O)=C([Cs])C2=O,93,-7.135645422,-3.433534452
O=S1(/C(C=C/C1=C(C(N2C)=O)\C3=C2C=C([Fr])C=C3)=C(C=C/C4=C(C(N5C)=O)\C6=C5C=C([Cs])C=C6)/S4(=O)=O)=O,94,-5.784599412,-3.456664142
O=C(N1C)/C(C2=C1C=C([Fr])C(F)=C2)=C3C(OC4=C/3C=C5C(/C(C(O5)=O)=C6C(N(C)C7=C\6C=C(F)C([Cs])=C7)=O)=C4)=O,95,-5.884193136,-3.599796106
[Fr]C1=CC=C(C=C([Cs])S2)C2=N1,96,-6.294541048,-1.09117714
CN1C(C2=C(C3=C(C1=O)C(SC4=C5C(N(C(C6=C4SC([Fr])=C6)=O)C)=O)=C5S3)SC([Cs])=C2)=O,97,-5.850451,-2.827808688
CN1C(C2=C(C=C(C(N(C)C(C3=C4SC([Cs])=C3)=O)=O)C4=C2)C5=C(C=C(S5)[Fr])C1=O)=O,98,-6.243927844,-2.568211932
[Cs]C1=C(F)C(F)=C([Fr])C(F)=C1F,99,-6.785434704,-0.822872736
[Fr]C1=CC=C2C(C=C1)=C3C(C(C(C(N(C3=O)C)=O)=C4C=C5)=C(C6=O)C4=CC=C5[Cs])=C2C(N6C)=O,100,-5.867866296,-2.912708256
O=C1C([Fr])=C2C=C3C(C=C2N1C)=C([Cs])C(N3C)=O,101,-5.91167665,-3.074071858
[Cs]C1=C2N=[Se]=NC2=C(C3=NN(N=C31)C)[Fr],102,-5.676570154,-2.93338892
O=C(C1=C2C(C3=C(C=C([Fr])S4)C4=C25)=C(C(N(C)C3=O)=O)C6=C1C=C([Cs])S6)N(C)C5=O,103,-6.055624956,-3.474351552
[Cs]C1=CC2=C3C(C4=CC=C3C(N(C)C2=O)=O)=C1C5=C6C4=C([Fr])C=C7C6=C(C(N(C)C7=O)=O)C=C5,104,-5.998481016,-3.46129008
O=C1C2=C(C=CC([Fr])=C2)C3=C1C=C([Cs])C=C3,105,-6.231682714,-2.238681878
[Cs]C1=C2C(N=C(C)C(C)=N2)=C([Fr])S1,106,-5.990861824,-1.933642084
[Cs]C1=NC2=C(N=C([Fr])S2)S1,107,-6.691555374,-1.503974078
[Cs]C1=NC=NC([Fr])=C1,108,-6.934553176,-1.157572956
[Fr]C1=NN=C([Cs])C=C1,109,-6.362569548,-1.395400592
[Fr]C(S1)=NC2=C1C=C(N=C([Cs])S3)C3=C2,110,-6.259438342,-1.555947852
[Fr]C1=NN=C([Cs])S1,111,-7.485039798,-1.268595468
[Cs]C1=C2C(N=CC=N2)=C([Fr])S1,112,-6.238485564,-2.263716366
[Fr]C1=C2C(N=C(C)C(C)=N2)=C([Cs])C=C1,113,-6.462435386,-1.607649512
[Fr]C1=C(N=C(C2=CC=CC=C2)C(C3=CC=CC=C3)=N4)C4=C([Cs])C5=NSN=C51,114,-6.075217164,-3.032982644
COC(C(OC)=C1)=C(OC)C=C1N2C3=C(SC([Cs])=C3)C4=C2C=C([Fr])S4,115,-5.180506332,-0.706407944
[Fr]C1=CC([Ge](C)(C)C2=CC(C(SC([Cs])=C3)=C3[Ge]4(C)C)=C4C=C25)=C5S1,116,-5.097511562,-1.416897598
[Fr]C1=CC2=C(S1)C3=CC4=C(C5=C(N4C)C=C([Cs])S5)C=C3N2C,117,-4.632468736,-0.917296294
[Fr]C(S1)=CC2=C1C(SC([Cs])=C3)=C3C4=NSN=C42,118,-5.917935272,-2.212014706
[Cs]C1=CC2=CC(SC3=C4C(C)(C)C5=CC6=C(C(C)(C)C7=C6SC8=CC9=C(SC([Fr])=C9)C=C78)C=C35)=C4C=C2S1,119,-4.940501784,-1.713229744
[Fr]C1=CC2=C(C([Se]C([Cs])=C3)=C3C2(C)C)[Se]1,120,-5.145947854,-1.109408778
[Fr]C1=CC2=C(C(SC([Cs])=C3)=C3[Ge]2(C)C)S1,121,-5.277923144,-1.22043129
[Fr]C(S1)=CC2=C1C(SC([Cs])=C3)=C3C=C2,122,-5.750313048,-0.962467218
CN(C/1=O)C2=C(C=C(Cl)C([Fr])=C2)C1=C3C(C=C(Cl)C([Cs])=C4)=C4N(C)C\3=O,123,-5.85317214,-3.040601836
O=C(N1C)C2=C([Fr])C=C3C(C=C([Cs])C(C(N4C)=O)=C3C4=O)=C2C1=O,124,-6.758495418,-3.103188056
[Fr]C1=C(C)C2=C(C(SC3=C4SC([Cs])=C3C)=C4S2)S1,125,-5.311937394,-1.21498901
